Location,Coords,Number of Studies
Alaska,"64.89149055013426, -151.91667352267197",4
Arizona,"34.37857998423727, -111.71577809479908",1
Austria,"47.66424616398451, 14.177614084415973",1
BC,"54.581005010009235, -124.98202714119775",2
California,"36.51209144595654, -119.71086858941653",10
China,"34.73624094213766, 103.71770554190404",1
Colombia,"3.5541174466346197, -73.10345527449353",2
Colorado,"39.26514118900377, -105.5103693824014",1
Finland,"62.00165550532245, 26.294836879888255",1
Florida,"27.74353385075786, -81.61800767035184",2
Georgia,"32.616739307971116, -83.28268065321963",1
Germany,"51.111770845294714, 10.371361796401068",2
Greece,"39.47224956680658, 22.587952686170215",1
Hong Kong,"22.319949502822187, 114.16952626735433",1
Illinois,"40.230734702084035, -89.49470828965488",1
Manitoba,"56.18546694583061, -97.10698119342922",1
Maryland,"39.50367934201051, -77.0104470761607",2
Massachusetts,"42.37536323566527, -72.40897750282139",1
Michigan,"43.80384766062358, -84.73083526522682",1
Minnesota,"46.223239199006734, -94.62879796073022",3
Nevada,"39.81552222042751, -116.89334592022037",1
New Hampshire,"43.39540367988234, -71.61493477483607",1
New Jersey,"39.55787761669224, -74.7856184300089",1
New York,"42.91887056451214, -76.03251993424736",3
North Carolina,"35.724298767158, -79.49809318919218",1
Northern Territory,"-19.534610536225067, 133.58310969839528",1
Norway,"61.90436922486641, 9.389766467480024",1
Nunavut,"65.78693819151916, -94.73267214115059",1
Ontario,"51.50890018214718, -86.71199839733781",1
Peru,"-10.41535990762349, -75.40119473003129",1
Poland,"52.90404374631509, 18.668410318883385",2
Portugal,"39.707946561995136, -8.603574181877825",1
Quebec,"51.343531842722825, -73.20400507346963",1
Queensland,"-22.866209790815965, 144.23230574942278",2
South Africa,"-30.844067394350134, 24.2990968435951",1
South Carolina,"33.918703338162985, -80.53093260577799",1
Switzerland,"46.80734132393286, 8.012219833949214",1
Taiwan,"23.502490114555304, 121.16305979152129",2
Texas,"31.531876781009906, -99.10124250144288",1
UK,"54.99921324090078, -2.6994315937670046",4
US,"39.827054724794046, -101.43014212095446",8
US (Midwest),"41.69657685687813, -84.80605720115264",3
Vermont,"44.39235735400395, -72.73039222362318",1
Victoria,"-37.02202074026208, 144.08973419634273",1
Virginia,"37.41729020440975, -78.3913695179482",1
Wales,"52.021659500221645, -4.386525931372885",1
Washington,"47.32116054284756, -119.83079703449756",2
Washington D.C.,"38.91373804641272, -77.0356326002061",2
